order_id,customer_id,order_date,status,payment_method,shipping_address,shipping_city,shipping_state,shipping_zip,shipping_country,total_amount
29,561,2023-04-10,Processing,Credit Card,7062 Brad Ways,North Stephentown,TN,22318,USA,8398.69
30,178,2023-06-13,Completed,Credit Card,775 Arthur Ways,Kellyburgh,HI,26923,USA,5673.78
31,678,2024-09-27,Completed,Debit,827 Sandra Dam Suite 426,Nixonfort,CT,62382,USA,4524.240000000001
32,259,2023-12-08,Processing,Credit Card,540 Gina Fort Suite 137,Port Sarahland,NE,04674,USA,311.3
33,864,2023-11-03,Completed,PayPal,81790 Moore Springs,Port Cherylchester,MA,49087,USA,2812.4100000000003
34,325,2024-05-14,Cancelled,Debit,086 Moreno Pines,South Deborahtown,AZ,79614,USA,4477.69
35,868,2023-11-16,Completed,Credit Card,32396 Brown Lock,Patriciaview,CT,92529,USA,7022.71
36,701,2023-05-14,Processing,PayPal,7303 Jimenez Mountains Apt. 034,Nataliechester,VA,93547,USA,3403.63
37,695,2023-12-23,Completed,Credit Card,8051 Hamilton Bridge Apt. 740,Port Regina,MN,88929,USA,6799.719999999999
38,486,2023-12-09,Completed,Credit Card,8372 Brent Trail Apt. 822,Thomasport,NV,88826,USA,1541.95
39,256,2023-05-25,Completed,Credit Card,45203 Shelby Route Apt. 273,Richardshire,MP,67530,USA,513.65
40,408,2024-12-02,Completed,Credit Card,6379 Hicks Trail Apt. 056,New Barbaraberg,NH,91040,USA,6417.23
41,376,2024-04-19,Completed,Credit Card,5023 Becker Views Apt. 138,Lake Julie,AS,40080,USA,7178.53
42,222,2024-01-14,Completed,Credit Card,6663 Martin Passage,Nicoleside,MI,64466,USA,7911.09
43,120,2023-12-05,Completed,Credit Card,232 Mcdaniel Circles Suite 164,Barbaraberg,IL,03756,USA,4965.99
44,553,2024-12-14,Completed,Credit Card,8560 Joseph Flats Apt. 296,Christopherberg,VI,81997,USA,6683.14
45,654,2024-11-29,Completed,Credit Card,1104 Jamie Plain,Port Lisaton,MT,90151,USA,2441.66
46,266,2024-12-16,Completed,Debit,634 Lopez Forest Apt. 807,Kimberlyborough,MD,60253,USA,1834.66
47,893,2024-12-16,Completed,PayPal,8614 Ball Pike,Hicksshire,OK,47758,USA,4804.32
48,494,2024-12-12,Completed,Credit Card,631 Wright Mount,North John,VI,38283,USA,1701.27
49,889,2024-06-10,Completed,Credit Card,538 Wall Lights Suite 790,Jonesside,UT,07185,USA,13395.82
50,363,2024-05-17,Completed,Credit Card,6656 Ruiz Cliffs,Bakerland,MN,47589,USA,4072.9
51,492,2024-05-20,Returned,Credit Card,47235 Austin Mountains Apt. 998,Gregoryberg,NC,90188,USA,10239.79
52,474,2023-12-12,Completed,PayPal,538 Mercado Fields Suite 364,Ramosstad,WY,38604,USA,7212.3099999999995
53,691,2024-04-25,Returned,PayPal,4262 Brittany Groves,Robertochester,AK,32020,USA,226.24
54,537,2024-11-24,Completed,PayPal,6197 Fernandez Plaza Apt. 683,Lisaburgh,IA,06496,USA,14501.09
55,635,2024-09-20,Returned,Debit,5253 John Passage,South Christina,ME,62198,USA,9647.95
56,256,2023-11-08,Cancelled,Credit Card,45203 Shelby Route Apt. 273,Richardshire,MP,67530,USA,12267.740000000002
57,406,2024-09-02,Completed,PayPal,17786 Manning Mill Apt. 740,Andreville,AK,44122,USA,4050.37
58,486,2023-12-21,Completed,PayPal,8372 Brent Trail Apt. 822,Thomasport,NV,88826,USA,5142.79
59,653,2024-10-06,Cancelled,Credit Card,649 Sanchez Creek,Williamtown,MI,88093,USA,1029.66
60,788,2023-10-18,Completed,Credit Card,888 Allen Springs Suite 957,South Valerieview,NJ,52376,USA,574.79
61,156,2024-07-21,Completed,Credit Card,80761 Katherine Tunnel Apt. 771,Vanessamouth,MI,23326,USA,7373.81
62,334,2023-10-17,Returned,Debit,39247 Margaret Forest,Tammyside,VA,06329,USA,3750.58
63,552,2024-11-03,Completed,Credit Card,6604 Armstrong Ford,New Amyside,PW,19884,USA,4372.48
64,430,2024-09-13,Completed,PayPal,47457 Yu Dale Suite 637,Washingtonshire,GU,08629,USA,6136.0599999999995
65,767,2024-06-26,Processing,PayPal,45200 Allen Ranch Suite 033,Millsbury,NC,65446,USA,1861.41
66,715,2024-08-04,Completed,Credit Card,06602 Eric Fields,Joshuaview,VI,07414,USA,233.06
67,169,2024-12-15,Completed,Credit Card,05825 Peterson River Apt. 753,Jillfurt,ID,30194,USA,4330.1
68,677,2024-04-23,Returned,PayPal,26955 Jeffrey Summit,Paulfurt,KY,88351,USA,9548.79
69,919,2024-12-24,Processing,Debit,222 Laura Rue,New Melissa,NY,42302,USA,1197.0
70,62,2024-09-09,Completed,PayPal,7925 Steven Springs,Robertstown,CT,28824,USA,5152.74
71,549,2024-11-01,Completed,PayPal,245 Bauer Streets,Paulmouth,NM,75703,USA,2541.75
72,723,2024-01-21,Completed,PayPal,80204 Ford Curve,West Caroline,WI,20889,USA,6735.09
73,937,2024-10-24,Completed,PayPal,814 Matthew Plain Apt. 774,New Nicholasland,NY,98538,USA,2066.87
74,329,2024-10-04,Completed,PayPal,43395 Jesse Vista Suite 281,South Johntown,CT,64450,USA,2385.77
75,678,2024-12-19,Completed,Credit Card,827 Sandra Dam Suite 426,Nixonfort,CT,62382,USA,1417.05
76,60,2024-09-15,Completed,Credit Card,67281 Michele Extensions,East Joycetown,OR,69905,USA,1383.0
77,350,2024-09-17,Completed,PayPal,9411 Tracy Canyon Apt. 962,East Cynthia,ND,88253,USA,2859.79
78,237,2024-07-14,Completed,Credit Card,460 Teresa Divide Apt. 471,Sanchezton,ME,33584,USA,1647.49
79,824,2024-11-05,Completed,PayPal,635 Young Bypass,Allisonview,NH,47533,USA,16406.31
80,566,2024-09-06,Processing,Credit Card,291 Connie Isle,Pierceberg,UT,80324,USA,693.04
81,825,2024-12-27,Completed,Credit Card,3671 Regina Park,Wilsonshire,PW,06488,USA,155.07999999999998
82,701,2024-12-01,Processing,Credit Card,7303 Jimenez Mountains Apt. 034,Nataliechester,VA,93547,USA,5027.3099999999995
83,156,2024-10-11,Completed,Credit Card,162 Samantha Viaduct Suite 851,East Amandaberg,NH,58329,USA,8189.38
84,822,2024-11-02,Completed,Credit Card,47653 Dana Village Suite 105,West Kristi,HI,74141,USA,3147.86
85,410,2024-11-18,Completed,PayPal,01059 Manuel Motorway Suite 803,Crawfordtown,PA,50094,USA,3399.07
86,654,2024-12-01,Processing,Credit Card,478 Robinson Keys Suite 526,South Albertview,KS,93260,USA,1291.75
87,900,2023-11-08,Completed,PayPal,44149 Hanson Walks,New Kellyland,DE,38939,USA,3964.97
88,72,2024-09-11,Completed,Credit Card,61855 Jason Fork,East Derrickport,SC,05424,USA,5991.8
89,572,2023-07-20,Completed,Debit,3440 Jennifer Ranch Suite 743,North Steven,SD,89119,USA,8631.63
90,972,2024-03-16,Completed,Credit Card,6525 Myers Estate Apt. 470,Walkerville,AR,30603,USA,12240.79
91,256,2024-04-03,Completed,Debit,45203 Shelby Route Apt. 273,Richardshire,MP,67530,USA,2802.65
92,397,2024-11-22,Completed,Credit Card,9906 Nguyen Lock Apt. 646,Derekview,DE,61371,USA,2446.07
93,397,2024-07-21,Cancelled,Credit Card,9906 Nguyen Lock Apt. 646,Derekview,DE,61371,USA,1287.4499999999998
94,466,2024-09-16,Completed,PayPal,94080 Jasmine Trace,North Jenniferfort,ND,47016,USA,119.25
95,642,2024-06-30,Completed,Credit Card,986 Rogers Spurs Suite 212,Beardfurt,AL,49299,USA,9487.55
96,110,2024-05-24,Processing,Credit Card,07729 Michael Knolls Apt. 370,Lisaport,RI,16522,USA,1638.54
97,826,2024-10-07,Processing,Credit Card,090 Walsh Wells Apt. 940,Thomaston,FM,70087,USA,135.27
98,357,2024-03-15,Completed,Credit Card,7045 Newman Avenue,West David,HI,35663,USA,7659.6
99,246,2024-12-10,Completed,PayPal,53280 Teresa Tunnel Apt. 408,Lake Cynthia,VI,91039,USA,6258.98
100,821,2024-11-16,Completed,PayPal,7108 Donna Rapid Suite 139,New David,RI,49958,USA,3743.91
101,936,2024-06-13,Completed,PayPal,720 Diana Lodge Suite 749,Lewisbury,PA,12563,USA,2607.55
102,978,2023-09-29,Completed,Credit Card,2328 Wright Squares Apt. 999,Port Katieport,MO,34651,USA,15168.009999999998
103,598,2024-08-05,Completed,PayPal,426 Kevin Causeway,West Adam,AR,91424,USA,11473.35
104,432,2024-12-17,Completed,Credit Card,3726 Johnson Knolls,Robertsonfort,ID,74818,USA,8026.85
105,848,2023-09-30,Completed,PayPal,487 Matthew Roads Apt. 914,Cassidyport,TN,39873,USA,3067.0699999999997
106,262,2024-11-15,Processing,Debit,1360 George Isle,Scottmouth,MH,96479,USA,2903.81
107,95,2023-12-17,Completed,PayPal,354 Williams Mountain Suite 202,North Karen,MO,53335,USA,2377.05
108,719,2024-06-01,Completed,PayPal,782 Garcia Inlet,Lake Ashleyburgh,OH,40441,USA,779.65
109,666,2024-10-10,Processing,PayPal,118 Luna Parks Suite 702,Jenniferbury,PA,96360,USA,10551.78
110,933,2023-12-05,Completed,Credit Card,437 Hood Ville Suite 500,Rachelburgh,CA,63251,USA,7253.29
111,408,2024-08-29,Processing,Credit Card,6379 Hicks Trail Apt. 056,New Barbaraberg,NH,91040,USA,5316.73
112,483,2023-10-24,Processing,Credit Card,1030 Singh Brooks,Lake Michael,AR,67545,USA,1334.12
113,60,2024-01-15,Completed,PayPal,12171 Salazar Flat Suite 851,Timothyfurt,GU,10868,USA,7445.459999999999
114,935,2024-12-05,Completed,Credit Card,9702 Michael Stravenue,East Brianport,VI,17332,USA,1109.8600000000001
115,437,2024-08-26,Completed,Credit Card,0807 Smith Walk,Olsenland,MD,33681,USA,16342.300000000001
116,827,2024-11-16,Completed,Debit,59746 Lewis Ferry,West Brendan,VT,30558,USA,1221.24
117,664,2024-05-20,Completed,Credit Card,4481 Ford Mills Suite 922,Lake Scottmouth,MN,25011,USA,11343.279999999999
118,910,2024-03-11,Completed,PayPal,10186 Cynthia Lodge,West Donnaville,LA,44549,USA,13367.08
119,936,2024-11-05,Completed,Credit Card,6237 Thornton Throughway Apt. 041,Juarezfurt,GU,99187,USA,11350.9
120,371,2024-07-26,Completed,Credit Card,7669 Wong Brooks,West Johnchester,MA,53153,USA,3906.27
121,691,2023-12-20,Completed,PayPal,4262 Brittany Groves,Robertochester,AK,32020,USA,3350.41
122,948,2024-09-21,Returned,Credit Card,72260 Martinez Crossroad Apt. 543,North Jamie,UT,99490,USA,8994.619999999999
123,284,2024-02-27,Processing,Credit Card,022 James Corner,North Stephenfort,MS,04286,USA,6203.14
124,719,2024-05-21,Completed,Credit Card,8839 Angel Overpass,Port Jasminechester,ME,67417,USA,9694.67
125,616,2024-12-09,Completed,Credit Card,975 John Corners Suite 172,Ericbury,HI,82418,USA,4103.53
126,592,2024-09-24,Cancelled,Credit Card,60316 Cristian Walks,South Paigeborough,PA,54400,USA,323.74
127,971,2024-12-08,Completed,Credit Card,1568 Robert Park Apt. 966,Catherineland,DE,45481,USA,4561.08
128,536,2023-12-20,Cancelled,PayPal,03422 Brian Walk,Nicolechester,KY,21413,USA,909.7800000000001
129,265,2024-05-24,Completed,PayPal,6217 Jeffrey Spur,East Elizabeth,GU,72398,USA,626.22
130,613,2024-07-23,Processing,Debit,03955 Bradley Cliff,Ramirezmouth,MS,81039,USA,4543.07
131,435,2024-11-29,Completed,Credit Card,10050 Lee Prairie Apt. 868,Port Daniel,WY,83257,USA,1712.14
132,786,2024-11-09,Completed,PayPal,2397 Shane Loaf,East Williamfurt,WA,64709,USA,4859.78
133,570,2024-04-14,Completed,Debit,8002 Steven Row Suite 567,Zimmermanmouth,GA,70375,USA,45.97
134,688,2024-11-15,Returned,Debit,06116 Joshua Center,Mayshire,MP,93359,USA,5616.25
135,297,2023-08-03,Completed,Credit Card,92675 Parks Union,Port Christophermouth,WY,33136,USA,2765.64
136,310,2024-06-25,Completed,PayPal,13210 Richardson Land Suite 605,Port Terri,OR,43289,USA,13309.62
137,487,2024-04-05,Completed,PayPal,84982 Janice Summit Suite 804,West Andrea,MO,69620,USA,2209.7
138,81,2024-10-17,Completed,Credit Card,441 Ashley Ridge Apt. 877,West Ruth,PR,43807,USA,3339.6800000000003
139,104,2024-08-28,Cancelled,Credit Card,028 Anna Walks Apt. 257,Paulfurt,SC,59808,USA,3096.51
140,806,2024-10-26,Completed,PayPal,2679 Amy Stravenue Apt. 154,South Christopherberg,GU,34811,USA,2931.75
141,864,2023-08-22,Completed,PayPal,81790 Moore Springs,Port Cherylchester,MA,49087,USA,5625.04
142,90,2024-09-01,Processing,Credit Card,6265 Salazar Villages Apt. 513,Port Angelaville,PR,11457,USA,10581.99
143,686,2023-08-14,Completed,Credit Card,1317 Mcintyre Station,Spearston,OR,28084,USA,4131.4
144,786,2024-12-06,Completed,PayPal,598 Teresa Drive Apt. 890,South Kennethburgh,AZ,60615,USA,4385.86
145,737,2024-05-10,Completed,Credit Card,387 Hernandez Shoals Suite 947,West Tina,PW,92336,USA,5337.610000000001
146,174,2024-07-17,Cancelled,PayPal,734 Frank Passage Suite 920,Leonardfort,UT,73691,USA,3178.0299999999997
147,438,2024-10-23,Completed,Credit Card,611 Charles Summit Apt. 398,Rachelberg,UT,74036,USA,2699.9700000000003
148,251,2024-12-26,Completed,Credit Card,9878 Little Ports Apt. 875,Port Nicolestad,KS,60104,USA,932.3100000000001
149,920,2024-12-12,Completed,Debit,99634 Stewart Rest Apt. 059,Lake Michael,HI,69568,USA,9108.03
150,37,2024-04-17,Completed,Debit,089 Moore Oval,Port Jeffreybury,NJ,16001,USA,2363.02
151,879,2024-08-24,Completed,PayPal,42896 Hurley Roads,North Michaelhaven,NC,29639,USA,616.33
152,32,2023-12-22,Completed,PayPal,9677 Bailey Ville,South Anthony,NH,26028,USA,2120.7
153,470,2023-08-18,Processing,Credit Card,628 Andrea Ford Suite 111,Wadeview,CT,98688,USA,6338.79
154,661,2024-11-18,Completed,Credit Card,39267 Brian Dale Apt. 400,Ashleyville,MH,05565,USA,4480.32
155,69,2024-07-14,Processing,Credit Card,9286 Derek Vista,West Alisonstad,TN,72585,USA,7509.87
156,46,2024-06-12,Completed,Credit Card,77321 Petersen Circle Apt. 061,North Eric,CT,69293,USA,10272.14
157,935,2024-07-19,Completed,Debit,17714 Porter Manor,Leeland,MN,62044,USA,4037.3100000000004
158,374,2024-01-11,Processing,Debit,75785 Nathaniel Place,West Lauren,IL,18034,USA,9171.23
159,951,2023-11-19,Completed,Credit Card,268 West Square,East Denise,IN,82962,USA,5309.1
160,398,2024-04-18,Completed,PayPal,92688 Herrera Avenue,New Marissa,IA,22167,USA,2647.25
161,699,2024-01-18,Completed,PayPal,7489 Love Village,Burnsberg,NJ,11776,USA,5999.01
162,959,2024-12-13,Completed,Credit Card,38325 Mark Extensions Apt. 630,Lauraton,MD,64683,USA,1554.88
163,429,2024-12-18,Completed,Debit,2104 Kyle Points,East Lori,KS,22093,USA,4592.96
164,731,2023-11-21,Completed,PayPal,754 Brenda Shore,Hernandezside,PW,67586,USA,24029.04
165,329,2024-11-12,Completed,Credit Card,43395 Jesse Vista Suite 281,South Johntown,CT,64450,USA,6076.030000000001
166,410,2024-11-30,Completed,Credit Card,01059 Manuel Motorway Suite 803,Crawfordtown,PA,50094,USA,3189.96
167,195,2024-05-04,Completed,Credit Card,513 Matthew Parkways Suite 800,Port Jasmineport,PA,06284,USA,968.8199999999999
168,948,2024-11-17,Processing,Credit Card,72260 Martinez Crossroad Apt. 543,North Jamie,UT,99490,USA,13342.76
169,988,2024-08-04,Completed,Credit Card,344 Owens Square,South Amanda,WY,80327,USA,7850.67
170,180,2024-05-07,Returned,Credit Card,424 Adams Meadows Suite 380,New Nathanberg,MO,92897,USA,9652.83
171,905,2024-11-05,Completed,Credit Card,57871 Ferguson Highway,Hillchester,FL,65696,USA,2951.92
172,695,2023-05-14,Completed,Credit Card,8051 Hamilton Bridge Apt. 740,Port Regina,MN,88929,USA,1605.05
173,329,2024-11-24,Completed,PayPal,1578 Jessica Curve Suite 143,Randolphfurt,CT,59582,USA,6387.9400000000005
174,642,2024-07-24,Completed,Credit Card,986 Rogers Spurs Suite 212,Beardfurt,AL,49299,USA,1087.24
175,527,2024-07-30,Processing,Credit Card,85715 Grace Stravenue Apt. 085,South Matthew,TX,45135,USA,10284.789999999999
176,442,2024-09-12,Completed,Credit Card,183 Walker Overpass,Melissashire,CT,92475,USA,10636.65
177,810,2024-12-16,Processing,PayPal,54812 Debbie Pike,North Heatherstad,TX,17246,USA,7929.46
178,136,2023-12-17,Processing,Credit Card,28438 Alexander Pines Suite 007,Jenniferfurt,ME,01395,USA,1238.13
179,301,2024-06-10,Completed,Credit Card,24712 Deborah Spur Suite 141,West Christine,TN,72706,USA,10909.95
180,582,2024-09-13,Completed,Debit,682 Jackson Mountain,Bethport,LA,52692,USA,1419.8700000000001
181,59,2024-06-03,Completed,Credit Card,1255 Donna Orchard,Samanthabury,CO,29025,USA,4788.46
182,694,2024-06-17,Processing,Debit,791 Nathan Flat,New Rachel,NE,07036,USA,3737.2799999999997
183,843,2024-08-28,Processing,Credit Card,392 Farmer Walks Apt. 664,Garymouth,MD,48908,USA,3140.88
184,82,2024-10-09,Completed,Credit Card,4920 Monica Centers,Hansonland,KY,94423,USA,17956.07
185,691,2024-11-11,Completed,PayPal,4262 Brittany Groves,Robertochester,AK,32020,USA,5985.62
186,324,2024-07-02,Completed,Credit Card,18399 Alexandra Run,New Darlene,MD,02948,USA,3315.31
187,795,2024-11-04,Completed,Credit Card,838 Connie Falls,Andersonshire,VA,77998,USA,4973.43
188,429,2023-10-24,Returned,Credit Card,2104 Kyle Points,East Lori,KS,22093,USA,7366.46
189,377,2024-09-01,Completed,Credit Card,85554 Brian Ville,Juliaside,DC,98632,USA,3565.5
190,305,2024-12-01,Completed,Credit Card,03829 Alexander Bypass,Tylerport,FM,88214,USA,10679.880000000001
191,903,2024-11-21,Cancelled,Credit Card,5728 Paul Grove,Buckleyland,NV,23919,USA,1894.22
192,344,2023-09-26,Completed,Debit,00914 Haley Dale,Drakeside,CA,06265,USA,7903.36
193,616,2024-09-29,Cancelled,Credit Card,9881 Dylan Port Suite 916,Nancystad,VA,08660,USA,4153.4
194,100,2024-06-29,Completed,Credit Card,1064 Perez Causeway,South Paul,VT,93949,USA,4597.82
195,858,2024-01-24,Completed,PayPal,793 Danielle Rue,Gamblehaven,NM,97380,USA,8715.84
196,788,2024-12-03,Completed,Debit,888 Allen Springs Suite 957,South Valerieview,NJ,52376,USA,13438.83
197,571,2023-09-20,Completed,PayPal,1547 Fuller Grove Suite 629,Thompsonbury,DE,61564,USA,592.9
198,626,2024-03-17,Completed,Debit,0681 Dyer Green Suite 414,Powersfort,DE,65806,USA,4984.030000000001
199,936,2023-06-21,Cancelled,Credit Card,6237 Thornton Throughway Apt. 041,Juarezfurt,GU,99187,USA,879.49
200,301,2023-10-19,Completed,Debit,24712 Deborah Spur Suite 141,West Christine,TN,72706,USA,7066.679999999999
201,653,2024-11-28,Completed,PayPal,557 Jennifer Islands,North Jonathan,AL,74426,USA,3190.58
202,376,2024-03-28,Completed,PayPal,5023 Becker Views Apt. 138,Lake Julie,AS,40080,USA,8994.880000000001
203,874,2024-11-14,Cancelled,Credit Card,54324 Charles Trail Apt. 668,Sheriton,FL,40548,USA,11332.87
204,310,2024-09-20,Completed,Credit Card,13210 Richardson Land Suite 605,Port Terri,OR,43289,USA,3365.33
205,49,2024-10-19,Completed,PayPal,620 Linda Courts Apt. 607,New Samanthamouth,TN,70284,USA,10953.79
206,899,2024-09-21,Completed,Credit Card,77808 Daniels Manor,New Loriton,HI,97073,USA,2179.41
207,959,2024-12-27,Completed,Credit Card,38325 Mark Extensions Apt. 630,Lauraton,MD,64683,USA,923.4300000000001
208,244,2024-12-27,Completed,Credit Card,658 Greer Groves Suite 832,Richardport,NY,55799,USA,1949.78
209,955,2023-08-13,Completed,Debit,6270 Scott Cove Apt. 417,Saraview,KY,08484,USA,4161.52
210,789,2024-12-28,Completed,Debit,8915 Jordan Mills,Claytonchester,NM,36089,USA,2475.6400000000003
211,264,2024-11-07,Completed,Credit Card,1003 Stacy Circles Suite 544,Port Timothy,NV,19890,USA,6793.58
212,963,2024-03-25,Completed,Credit Card,30898 Patricia Prairie,Joseborough,NM,67546,USA,2560.7400000000002
213,536,2023-09-30,Completed,Credit Card,03422 Brian Walk,Nicolechester,KY,21413,USA,10738.39
214,701,2024-06-05,Processing,Credit Card,7303 Jimenez Mountains Apt. 034,Nataliechester,VA,93547,USA,1451.2900000000002
215,933,2024-03-01,Completed,Credit Card,437 Hood Ville Suite 500,Rachelburgh,CA,63251,USA,3706.2200000000003
216,797,2024-06-20,Completed,Credit Card,110 Nicole Park Apt. 667,Lake Ray,PR,54324,USA,1037.46
217,131,2024-03-18,Completed,PayPal,2893 Christian Vista Apt. 538,Michaelside,GA,53193,USA,8016.63
218,159,2024-05-17,Completed,Debit,7142 Sullivan Ferry Apt. 376,North Jenniferland,RI,77942,USA,5886.52
219,868,2023-12-29,Completed,PayPal,32396 Brown Lock,Patriciaview,CT,92529,USA,5691.7699999999995
220,375,2024-09-13,Completed,Credit Card,577 Mahoney Springs Apt. 380,North Amandaville,NH,09699,USA,5832.780000000001
221,798,2024-12-17,Completed,PayPal,637 Ryan Highway Apt. 388,Romerohaven,IN,39121,USA,3324.13
222,101,2024-08-25,Processing,PayPal,5105 Connie Square,Austinfurt,ME,06845,USA,1875.91
223,329,2024-10-09,Completed,PayPal,12612 Edward Fork,Darrellshire,OK,57026,USA,607.34
224,63,2023-10-09,Completed,Credit Card,8720 Schmidt Fields Apt. 264,North Eric,NY,49905,USA,153.38
225,325,2024-03-27,Completed,Debit,086 Moreno Pines,South Deborahtown,AZ,79614,USA,6843.01
226,72,2024-05-08,Completed,Credit Card,61855 Jason Fork,East Derrickport,SC,05424,USA,10531.119999999999
227,336,2024-09-21,Processing,Credit Card,907 Kirsten Stream,East Keithland,FL,76048,USA,11069.539999999999
228,256,2024-03-26,Completed,Credit Card,45203 Shelby Route Apt. 273,Richardshire,MP,67530,USA,2895.42
229,702,2024-11-25,Completed,PayPal,022 Bennett Ways Apt. 467,East Amy,PA,00624,USA,13092.98
230,150,2024-04-26,Completed,PayPal,9564 Walsh Estates Apt. 331,West Jennifer,MI,68537,USA,2140.5
231,253,2024-05-16,Completed,Credit Card,584 Gilbert Expressway Suite 755,Lawrencemouth,LA,72488,USA,2367.2200000000003
232,743,2024-11-20,Completed,Credit Card,9985 Billy Throughway Apt. 372,Port Jon,WI,12889,USA,2789.59
233,635,2024-11-01,Completed,PayPal,5253 John Passage,South Christina,ME,62198,USA,6571.0
234,84,2024-01-24,Completed,Credit Card,406 Gray Lane Suite 705,East Jenniferland,ME,26456,USA,4327.42
235,697,2024-08-21,Completed,Credit Card,741 Donna Crescent Apt. 771,Grantport,WY,82731,USA,5019.16
236,204,2024-12-31,Cancelled,Credit Card,63959 Elizabeth Ferry Suite 092,Pearsonton,LA,93968,USA,7713.39
237,250,2024-12-31,Completed,Credit Card,54127 Wallace Lake,Port Michaelmouth,OR,50691,USA,7138.75
238,420,2024-11-27,Completed,Credit Card,089 Little Stream Suite 085,South Brendatown,IL,11911,USA,3447.45
239,432,2024-12-21,Completed,Debit,3726 Johnson Knolls,Robertsonfort,ID,74818,USA,4063.0199999999995
240,262,2024-12-18,Completed,Debit,1360 George Isle,Scottmouth,MH,96479,USA,5908.400000000001
241,964,2024-11-01,Completed,PayPal,93760 Anderson Gateway,New Cassandra,MI,91661,USA,4200.97
242,502,2024-11-09,Completed,Credit Card,7692 Tanya Fords Apt. 125,West Rachel,HI,89831,USA,4448.54
243,707,2024-09-05,Completed,Credit Card,2968 Sean Flats Suite 740,Lake Robert,WY,03311,USA,255.53
244,410,2024-06-15,Completed,PayPal,01059 Manuel Motorway Suite 803,Crawfordtown,PA,50094,USA,8544.880000000001
245,647,2024-12-30,Completed,Credit Card,3118 Shah Flat,Turnerland,GA,31693,USA,7977.24
246,437,2024-09-25,Completed,Credit Card,0807 Smith Walk,Olsenland,MD,33681,USA,6675.32
247,264,2024-10-18,Completed,Credit Card,1003 Stacy Circles Suite 544,Port Timothy,NV,19890,USA,3555.1499999999996
248,559,2024-11-17,Completed,Credit Card,573 Julie Inlet Suite 803,West Damon,MO,19678,USA,6159.91
249,822,2024-11-21,Completed,Credit Card,221 Morgan Burgs Apt. 454,Ryanport,OR,54782,USA,5873.61
